Date,Open,High,Low,Close,Adj Close,Volume
2018-03-23,1.510000,1.540000,1.470000,1.490000,1.490000,15200
2018-03-26,1.530000,1.530000,1.460000,1.470000,1.470000,20900
2018-03-27,1.470000,1.520000,1.460000,1.520000,1.520000,99800
2018-03-28,1.510000,1.520000,1.390000,1.420000,1.420000,68600
2018-03-29,1.450000,1.480000,1.420000,1.420000,1.420000,24700
2018-04-02,1.420000,1.450000,1.380000,1.380000,1.380000,124500
2018-04-03,1.390000,1.420000,1.360000,1.360000,1.360000,93500
2018-04-04,1.350000,1.390000,1.350000,1.390000,1.390000,26400
2018-04-05,1.400000,1.420000,1.370000,1.370000,1.370000,109600
2018-04-06,1.410000,1.630000,1.400000,1.550000,1.550000,1519300
2018-04-09,1.560000,1.920000,1.530000,1.550000,1.550000,1561600
2018-04-10,1.570000,1.670000,1.520000,1.570000,1.570000,272500
2018-04-11,1.520000,1.600000,1.500000,1.530000,1.530000,96300
2018-04-12,1.540000,1.630000,1.540000,1.580000,1.580000,147700
2018-04-13,1.600000,1.610000,1.530000,1.550000,1.550000,109400
2018-04-16,1.580000,1.580000,1.530000,1.570000,1.570000,49200
2018-04-17,1.580000,1.640000,1.530000,1.550000,1.550000,112800
2018-04-18,1.570000,1.580000,1.550000,1.550000,1.550000,67200
2018-04-19,1.550000,1.550000,1.500000,1.540000,1.540000,78600
2018-04-20,1.530000,1.530000,1.460000,1.480000,1.480000,119500
2018-04-23,1.460000,1.580000,1.430000,1.440000,1.440000,89100
2018-04-24,1.470000,1.490000,1.400000,1.440000,1.440000,74900
2018-04-25,1.430000,1.430000,1.380000,1.390000,1.390000,93800
2018-04-26,1.400000,1.470000,1.400000,1.450000,1.450000,59100
2018-04-27,1.470000,1.490000,1.420000,1.420000,1.420000,19400
2018-04-30,1.430000,1.450000,1.400000,1.400000,1.400000,32500
2018-05-01,1.420000,1.430000,1.400000,1.430000,1.430000,18400
2018-05-02,1.430000,1.430000,1.400000,1.410000,1.410000,14100
2018-05-03,1.400000,1.490000,1.380000,1.450000,1.450000,189400
2018-05-04,1.450000,1.580000,1.380000,1.430000,1.430000,563200
2018-05-07,1.510000,1.510000,1.410000,1.500000,1.500000,186000
2018-05-08,1.490000,1.670000,1.450000,1.460000,1.460000,1989900
2018-05-09,1.460000,1.490000,1.440000,1.460000,1.460000,186000
2018-05-10,1.470000,1.470000,1.440000,1.440000,1.440000,118700
2018-05-11,1.440000,1.480000,1.430000,1.440000,1.440000,57100
2018-05-14,1.450000,1.450000,1.430000,1.430000,1.430000,55200
2018-05-15,1.430000,1.450000,1.410000,1.440000,1.440000,195900
2018-05-16,1.530000,1.720000,1.520000,1.580000,1.580000,1726200
2018-05-17,1.560000,1.640000,1.530000,1.590000,1.590000,194500
2018-05-18,1.610000,1.630000,1.560000,1.590000,1.590000,147200
2018-05-21,1.700000,1.800000,1.580000,1.660000,1.660000,1808200
2018-05-22,1.680000,1.680000,1.480000,1.560000,1.560000,497000
2018-05-23,1.550000,1.610000,1.520000,1.530000,1.530000,165900
